year_month,origin_abbrev,dest_abbrev,flight_normalized,population_origin_normalized,population_dest_normalized,distance_km,vaccination_pct,avg_temp_f,precip_in,raw_score,infection_probability,transmission_event
2024-12,AL,AR,0.00015408320493066256,0.131103367048637,0.078730060441379,557.0321334452506,34.4,46.3,6.69,2.679562758971105e-13,0.0,0
2024-12,AL,AZ,0.0023112480739599386,0.131103367048637,0.190717494970447,2254.2524308902707,31.9,47.8,0.01,1.6812403911348436e-09,0.0,0
2024-12,AL,CO,0.023882896764252697,0.131103367048637,0.150842573781169,1875.3817776335902,41.0,32.0,0.47,4.0841660995837153e-10,0.0,0
2024-12,AL,FL,0.03713405238828968,0.131103367048637,0.580280097675892,732.4622330154139,29.8,60.6,1.76,1.2134924373783669e-09,0.0,0
2024-12,AL,GA,0.13035439137134053,0.131103367048637,0.283053313761336,376.1623862615963,29.8,48.9,3.24,2.7237187166853606e-09,0.0,0
2024-12,AL,ID,0.00015408320493066256,0.131103367048637,0.050422591259846,2742.588050392068,24.2,30.2,3.03,1.677137974580377e-13,0.0,0
2024-12,AL,IL,0.035901386748844376,0.131103367048637,0.322074344659348,951.0096351658661,36.9,34.0,2.6,4.886722226819046e-10,0.0,0
2024-12,AL,IN,0.00015408320493066256,0.131103367048637,0.176110997320095,922.7896789329927,37.5,34.6,4.17,7.125403705869425e-13,0.0,0
2024-12,AL,KY,0.0064714946070878274,0.131103367048637,0.116158901099245,658.9065788827703,34.4,40.2,5.04,2.146011564906556e-11,0.0,0
2024-12,AL,LA,0.003852080123266564,0.131103367048637,0.117380375865198,509.6658399565997,29.5,55.4,6.24,1.1405196093121948e-11,0.0,0
2024-12,AL,MD,0.004622496147919877,0.131103367048637,0.158609582660094,1189.629301748797,44.2,37.5,2.75,1.7726457028396167e-11,0.0,0
2024-12,AL,MI,0.010169491525423728,0.131103367048637,0.257595567408071,1338.7241343807116,36.3,27.9,2.69,9.416668212150665e-11,0.0,0
2024-12,AL,MN,0.00015408320493066256,0.131103367048637,0.147257451028152,1733.823725792843,42.1,19.6,0.92,2.26003669894471e-12,0.0,0
2024-12,AL,MS,0.00015408320493066256,0.131103367048637,0.075443999468962,234.55300794291387,27.9,50.4,5.42,8.525479590551246e-13,0.0,0
2024-12,AL,NC,0.08782742681047766,0.131103367048637,0.278081286547201,820.603154453632,39.7,43.6,3.11,7.248450898641135e-10,0.0,0
2024-12,AL,ND,0.00015408320493066256,0.131103367048637,0.02011862227912,2069.979837625015,36.3,18.0,0.53,5.669519726238604e-13,0.0,0
2024-12,AL,NV,0.00600924499229584,0.131103367048637,0.081975110453065,2752.3701676623946,29.9,37.6,0.82,2.5452827762782615e-11,0.0,0
2024-12,AL,NY,0.011556240369799691,0.131103367048637,0.502274324677411,1649.2728458830898,40.0,27.0,3.65,1.1704753229494065e-10,0.0,0
2024-12,AL,OH,0.0003081664098613251,0.131103367048637,0.302473415183649,968.7188324675411,37.6,34.6,3.61,2.6860708633137864e-12,0.0,0
2024-12,AL,OK,0.0003081664098613251,0.131103367048637,0.104037056867651,988.8495093127902,30.8,45.1,1.54,1.987051030792597e-12,0.0,0
